Embedding Type,Test Accuracy,F1-Score (Macro),F1-Score (Weighted)
TF-IDF,0.8942909017550938,0.6706600401727032,0.8799666041940972
Word2Vec Skip-gram,0.8985273350817027,0.7165914257008913,0.8915906866194416
Word2Vec CBOW,0.8930804922332055,0.7110445060682152,0.8876865934021402
