Embedding,Class,Precision,Recall,F1-Score,Support
TF-IDF,Hate Speech,0.5657894736842105,0.15034965034965034,0.23756906077348067,286
TF-IDF,Offensive Language,0.9182295573893473,0.9567483064095883,0.9370932754880694,3838
TF-IDF,Neither,0.8140589569160998,0.8619447779111644,0.8373177842565598,833
Word2Vec Skip-gram,Hate Speech,0.5197368421052632,0.2762237762237762,0.3607305936073059,286
Word2Vec Skip-gram,Offensive Language,0.936,0.9450234497133924,0.94049008168028,3838
Word2Vec Skip-gram,Neither,0.8043010752688172,0.8979591836734694,0.8485536018150879,833
Word2Vec CBOW,Hate Speech,0.45555555555555555,0.2867132867132867,0.351931330472103,286
Word2Vec CBOW,Offensive Language,0.9353582554517134,0.9387701928087545,0.9370611183355007,3838
Word2Vec CBOW,Neither,0.8021621621621622,0.8907563025210085,0.8441410693970421,833
