Embedding,Class,Precision,Recall,F1-Score,Support
TF-IDF,Hate Speech,0.5657894736842105,0.15034965034965034,0.23756906077348067,286
Word2Vec Skip-gram,Hate Speech,0.5197368421052632,0.2762237762237762,0.3607305936073059,286
Word2Vec CBOW,Hate Speech,0.45555555555555555,0.2867132867132867,0.351931330472103,286
